NAMA SATUAN PENDIDIKAN;BAHASA INDONESIA;BAHASA INGGRIS;MATEMATIKA;FISIKA;KIMIA;BIOLOGI;
SMA SAINT PETER;84,12;92,94;63,24;67,92;100;61,75;
SMA TUNAS GADING;81,08;80,92;45,77;52;42,5;63,33;
SMA BINA TUNAS BANGSA;73,14;92,57;51,25;43,21;56,07;66,65;
SMA IPEKA PLUIT;85,48;90,91;72,72;81,79;86;84,81;
SMA MARIE JOSEPH;83,69;86,15;54,62;71,93;68,75;54,5;
SMA KRISTEN 6 BPK PENABUR;87,11;90,77;88,02;85,36;84,25;81,98;
MA NEGERI 5;71,1;55,1;35,38;33,38;47,75;53,59;
MA AL-WATHONIYAH 43;66,09;39,73;29,2;35,83;35,5;47,32;
MA YAPIS;53,06;38,71;29,56;31;39,82;40,83;
MA AL-KHAIRIYAH;67,58;49,58;30,66;35;42,5;42,5;
MA RAUDHATUL JANNATINNAIM;56;38,95;31,43;37;39,38;40,83;
MA AL-JIHAD;50,81;40,89;26,76;30;38,48;35,9;
MA NEGERI 21;72,95;56,07;35,85;41,79;38,61;52,99;
SMA KRISTEN PENABUR KELAPA GADING;82,56;93,41;82,55;88,33;80,26;91;
SMA WESTIN;81,67;86,67;46,25;43,75;64,59;64,59;
SMA PELANGI KASIH;84,15;92,54;77,93;70,94;75;72,75;
MAS KHAIRUL UMMAH;67,52;40,24;29,8;31,07;30;43,83;
SMA BINA BANGSA SCHOOL PANTAI INDAH KAPUK;66,82;91,35;55,12;51,56;73,5;69,41;
SMA BUNDA MULIA SCHOOL;80;91,5;63,75;65;60;81,88;
SMA SIS PIK;72;94,5;50,63;57,5;67,5;47,5;
SMA SIS KELAPA GADING;61,43;88,14;50,54;45,83;62,5;52,86;
JAKARTA TAIPEI SCHOOL;57,5;93;44,38;43,75;60,29;48,75;
SMA SAINT PETER SCHOOL;70,67;92,67;48,33;67,29;60;52,5;
SMA RAFFLES CHRISTIAN SCHOOL;62,91;91,82;48,41;44;60;76,25;
SMA JAC;83,43;93,71;56,07;57,5;60;55,63;
SMA MAHATMA GADING INTERCULTURAL SCHOOL;60;92,67;44,58;63,9;63,9;58,33;
SMA BEACON ACADEMY JAKARTA;80;93;47,5;52,5;72;82,5;
SMA TZU CHI;73;89,5;53,13;69,69;69,69;63,13;
SMA NEGERI 23;82,59;75,31;52,08;62;64,33;64,19;
SMA AL-CHASANAH;71,75;54,13;34,77;37;44,17;47,92;
SMA BUNDA HATI KUDUS;83,96;84,8;61,33;65,56;66,73;76,52;
SMA DHARMA JAYA;75,08;69,85;48,46;35,56;60,83;45;
SMA KRISTEN IMMANUEL;76,29;75,14;41,43;62,59;47,5;59,17;
SMA KRISTEN 1 PENABUR;88,26;93,32;90,58;95,2;88,13;89,87;
SMA MUHAMMADIYAH 13;67,54;49,92;33,56;33;38,06;41,46;
SMA K PANCARAN BERKAT;73,37;66;38,82;43,33;43;58,5;
SMA YP-BDN;71,6;52,8;32,5;37,5;50,98;49,38;
SMA SANTO KRISTOFORUS I;84,24;85,94;66,47;71,82;70,91;65,83;
